imageFileID,userResponse,timeTaken
1,r,09.923862
2,r,02.875047
3,r,06.547166
4,r,04.008346
5,r,04.218900
6,r,03.187649
7,p,03.250101
8,p,01.750035
9,p,10.500387
10,p,06.987763
11,r,03.422032
12,r,02.468835
13,r,01.796909
14,r,04.812637
15,r,01.562592
16,r,13.943397
17,r,04.196886
18,r,06.547178
19,r,06.189255
20,r,06.984635
21,r,11.330188
22,r,05.296994
23,r,01.765688
24,r,02.765724
25,p,10.609753
26,p,04.779054
27,r,01.155223
28,r,01.578160
29,r,01.640613
30,r,11.375471
31,r,01.124986
32,p,03.125139
33,p,02.062604
34,r,04.508899
35,p,17.332037
36,r,02.859444
37,p,03.281334
38,p,04.828295
39,p,15.995264
40,p,10.734825
41,r,03.422009
